epoch,train_loss,train_accuracy,train_no_number_accuracy,val_loss,val_accuracy,val_no_number_accuracy,learning_rate
1,3.4557057108197893,15.053763440860216,63.63636363636363,4.112241109212239,42.06008583690987,0.0,0.0001
2,2.0371882064001903,54.03225806451613,70.45454545454545,2.9510206116570368,13.948497854077253,0.0,0.00028
3,1.2367038982255119,53.763440860215056,77.27272727272727,2.140366792678833,42.06008583690987,62.96296296296296,0.00045999999999999996
4,1.1400984185082572,62.903225806451616,86.36363636363636,1.596746974521213,39.69957081545064,79.62962962962963,0.00064
5,1.0237410536834173,71.50537634408602,88.63636363636364,0.6878983146614499,68.02575107296137,87.03703703703704,0.00082
6,0.7207553258963993,62.365591397849464,86.36363636363636,0.5094320186310344,83.2618025751073,88.88888888888889,0.0008190012606065279
7,0.578662667955671,82.52688172043011,81.81818181818181,0.32216305947966045,87.76824034334764,90.74074074074075,0.0008160099081840437
8,0.3116440943309239,72.58064516129032,93.18181818181819,0.3204825135568778,96.13733905579399,88.88888888888889,0.0008110405163008602
9,0.3106247846569334,87.09677419354838,90.9090909090909,0.24040528552399743,89.69957081545064,96.29629629629629,0.0008041172953347106
10,0.24322924496872084,81.45161290322581,95.45454545454545,0.2159615991016229,95.92274678111588,90.74074074074075,0.0007952739745222223
11,0.19830164739063807,92.74193548387096,93.18181818181819,0.23851652588281366,95.06437768240343,96.29629629629629,0.0007845536376334662
12,0.13489962688514165,94.08602150537635,100.0,0.23640072718262672,97.21030042918454,94.44444444444444,0.00077200851307216
13,0.23030438061271394,83.06451612903226,100.0,0.22564095786462227,98.28326180257511,92.5925925925926,0.0007576997194241344
14,0.21456234689269746,93.01075268817205,97.72727272727273,0.2090067377107011,93.34763948497854,96.29629629629629,0.0007416969676937283
15,0.12392950057983398,81.45161290322581,97.72727272727273,0.1898544356226921,97.21030042918454,98.14814814814815,0.0007240782216787808
16,0.10882627964019775,93.54838709677419,97.72727272727273,0.20731211934859553,98.068669527897,96.29629629629629,0.0007049293181388468
17,0.12216492609253951,97.04301075268818,97.72727272727273,0.16012000701286727,96.99570815450643,98.14814814814815,0.0006843435486071317
18,0.19682035275868007,83.87096774193549,97.72727272727273,0.17667067982256413,92.91845493562232,98.14814814814815,0.0006624212048835197
19,0.07350988459906407,94.89247311827957,95.45454545454545,0.21360092506640488,97.63948497854078,94.44444444444444,0.000639269090423006
20,0.07451459871871131,96.50537634408602,95.45454545454545,0.18052340479981568,97.21030042918454,96.29629629629629,0.0006149999999999999
21,0.16022066798593318,94.6236559139785,100.0,0.14362425936592949,97.85407725321889,98.14814814814815,0.0005897321701835216
22,0.14521659378494536,88.17204301075269,100.0,0.20185453527503544,92.27467811158799,96.29629629629629,0.0005635887033005238
23,0.1404588297009468,87.63440860215054,95.45454545454545,0.14480007781336704,96.56652360515021,98.14814814814815,0.0005366969676937283
24,0.05558241744126592,94.6236559139785,100.0,0.13551438511866662,96.99570815450643,98.14814814814815,0.0005091879771958636
25,0.07199988833495549,95.6989247311828,95.45454545454545,0.15244211085761586,98.28326180257511,98.14814814814815,0.00048119575284344136
26,0.054150927545768876,97.84946236559139,97.72727272727273,0.13922106460409445,98.49785407725322,98.14814814814815,0.0004528566699397378
27,0.13673255406320095,95.16129032258064,100.0,0.14553386361027756,96.56652360515021,98.14814814814815,0.00042430879364802537
28,0.06705785569335733,92.47311827956989,100.0,0.1751652132305834,93.77682403433477,98.14814814814815,0.0003956912063519746
29,0.08577670795576912,92.74193548387096,97.72727272727273,0.15336528795564341,96.13733905579399,98.14814814814815,0.00036714333006026206
30,0.0498203592641013,96.23655913978494,97.72727272727273,0.13428283754425743,96.99570815450643,98.14814814814815,0.0003388042471565585
31,0.039764821462865384,98.11827956989248,100.0,0.14079319341625604,98.28326180257511,98.14814814814815,0.0003108120228041361
32,0.027319803833961487,98.11827956989248,97.72727272727273,0.1543910956889805,98.068669527897,98.14814814814815,0.00028330303230627153
33,0.02862800830709083,97.58064516129032,97.72727272727273,0.15187899774820027,98.49785407725322,98.14814814814815,0.00025641129669947603
34,0.0266752831105675,98.11827956989248,100.0,0.14315910079878652,97.85407725321889,98.14814814814815,0.00023026782981647818
35,0.03550832652087722,97.04301075268818,97.72727272727273,0.14216887699957523,97.85407725321889,98.14814814814815,0.00020500000000000005
36,0.017249315245343105,98.11827956989248,100.0,0.14735280483728275,97.85407725321889,98.14814814814815,0.00018073090957699381
37,0.019112759735435247,98.9247311827957,100.0,0.14790096767117372,97.42489270386267,98.14814814814815,0.00015757879511648008
38,0.04305145803040692,97.58064516129032,97.72727272727273,0.14668905136123714,97.42489270386267,98.14814814814815,0.0001356564513928681
39,0.033676481539649625,97.58064516129032,97.72727272727273,0.1433057321054447,97.63948497854078,98.14814814814815,0.00011507068186115296
40,0.02301092818379402,98.11827956989248,100.0,0.14401295973867592,97.21030042918454,98.14814814814815,9.592177832121906e-05
41,0.017556228209286928,97.58064516129032,100.0,0.1445603853660739,97.21030042918454,98.14814814814815,7.830303230627159e-05
42,0.03397745871916413,97.84946236559139,97.72727272727273,0.144082034608194,97.42489270386267,98.14814814814815,6.230028057586535e-05
43,0.13800674676895142,97.84946236559139,100.0,0.14590417109947237,97.21030042918454,98.14814814814815,4.7991486927840024e-05
44,0.031423769891262054,97.31182795698925,100.0,0.14605825627222657,96.99570815450643,98.14814814814815,3.544636236653369e-05
45,0.026204260864428112,97.84946236559139,100.0,0.1454276194433785,96.78111587982832,98.14814814814815,2.472602547777759e-05
46,0.02409669085006629,97.31182795698925,100.0,0.14526446969507056,96.78111587982832,98.14814814814815,1.5882704665289344e-05
47,0.02993310841598681,96.50537634408602,100.0,0.145005412464444,96.78111587982832,98.14814814814815,8.959483699139668e-06
48,0.02606063482484647,97.58064516129032,100.0,0.14516262723029488,96.78111587982832,98.14814814814815,3.9900918159561975e-06
49,0.030078903439321687,97.31182795698925,100.0,0.14480653184000403,96.99570815450643,98.14814814814815,9.987393934720791e-07
50,0.02419166167133621,97.84946236559139,100.0,0.14475495237598401,96.99570815450643,98.14814814814815,0.0
